1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Seed cell number/ ml 	AU-565	BT-20	BT-474	CAMA-1	DU-4475	HCC-1187	HCC-1395	HCC-1419	HCC-1569	HCC-1806	HCC-1937	HCC-1954	HCC-202	HCC-2218	HCC-38	HCC-70	MCF7	MCFDCIS.COM	MDA-MB-361	SK-BR-3	ZR-75-1
100000	78860	72860	69704	72368	30296	54812	50228	120692	123860	62216	125140	73392	66912	155772	111900	80028	81080	80848	49420	79992	129812
50000	33868	35092	29368	36136	15196	25348	23240	59540	60528	24168	53420	34356	28888	64672	50352	41196	41000	35404	22324	34284	61732
25000	21608	19948	20156	24120	10316	13292	12380	38292	36672	16224	34912	22712	18420	40136	28976	21476	23392	21412	14316	21360	35596
12500	10584	11420	12512	12952	5628	7000	6964	22396	22444	9460	19488	12124	8800	27280	16544	9404	13736	12380	8240	12080	20520
6250	6092	6108	6932	8176	2776	3436	4244	12612	12168	5532	12120	7208	4896	16076	9196	4876	7452	8548	4868	6688	11828
3125	2652	3392	4188	3924	1352	1916	2160	7700	6908	3224	7332	4080	2456	7820	5008	2620	3584	5896	2908	3668	6448
1562.5	1404	1980	2368	2012	1564	1140	1216	3988	3436	1756	4044	2128	1484	3260	2332	1284	1856	2788	1788	2520	3396
781.25	552	1112	1236	1392	468	456	540	2016	2036	800	2080	1036	632	2012	1192	412	964	1860	1000	1340	1940
390.625	392	744	664	708	224	228	316	708	952	436	1316	848	536	1212	560	304	528	1156	688	596	816
195.3125	172	256	336	340	316	148	156	404	468	264	444	308	308	616	372	160	296	556	276	472	364
97.65625	68	140	120	136	156	52	84	324	148	96	456	212	144	808	116	116	124	312	88	200	164
48.828125	52	92	104	120	36	28	56	172	184	64	164	48	80	32	56	16	28	88	92	84	180
																					
																					
This is reference data showing signal / cell number seeded (Day of seed stain)																					
Seeding is 30 ul / well - 384 well plate - Same as for screening.																					
The CTG signal obtained across different days for the same cell line are very consistent (2 experiments)																					
"This suggest that we can use this data as a reference to determine the ""time Zero"" signal of the screen plates "																					
There are a few missing cell lines. We have data for these lines only for the day after seed; However there seem to be little difference between day of seed and next day values in these Time Zero experiments, most likely because the seed was late and the next day stain was early.																					
